,date,close,high,low,open,volume
889,2018-08-21 00:00:00+05:30,1403.3,1425.95,1395.4,1416.45,1520772
890,2018-08-23 00:00:00+05:30,1394.75,1412.0,1390.7,1410.0,859955
891,2018-08-24 00:00:00+05:30,1393.5,1411.0,1385.05,1395.0,919355
892,2018-08-27 00:00:00+05:30,1399.8,1407.0,1396.5,1397.5,785772
893,2018-08-28 00:00:00+05:30,1407.5,1419.65,1401.0,1402.0,1290318
894,2018-08-29 00:00:00+05:30,1394.0,1413.75,1391.0,1413.75,743529
895,2018-08-30 00:00:00+05:30,1378.7,1398.7,1373.55,1394.1,1062266
896,2018-08-31 00:00:00+05:30,1372.45,1392.0,1364.2,1383.0,1006329
897,2018-09-03 00:00:00+05:30,1361.6,1387.5,1355.0,1384.0,817733
898,2018-09-04 00:00:00+05:30,1311.3,1364.6,1302.5,1360.0,1789240
899,2018-09-05 00:00:00+05:30,1321.3,1330.0,1302.45,1314.5,1222703
900,2018-09-06 00:00:00+05:30,1314.5,1331.95,1308.0,1327.95,726455
901,2018-09-07 00:00:00+05:30,1316.0,1322.8,1310.0,1322.8,912914
902,2018-09-10 00:00:00+05:30,1293.1,1318.0,1280.5,1314.6,1121083
903,2018-09-11 00:00:00+05:30,1297.85,1313.3,1286.7,1295.0,1676544
904,2018-09-12 00:00:00+05:30,1291.0,1303.5,1280.0,1303.5,1111171
905,2018-09-14 00:00:00+05:30,1333.9,1336.55,1297.55,1298.8,1498792
906,2018-09-17 00:00:00+05:30,1308.65,1329.95,1302.0,1329.95,965321
907,2018-09-18 00:00:00+05:30,1292.1,1331.75,1285.0,1306.0,1088372
908,2018-09-19 00:00:00+05:30,1291.35,1319.2,1287.0,1304.2,929673
909,2018-09-21 00:00:00+05:30,1304.75,1324.85,1211.9,1292.1,1867297
910,2018-09-24 00:00:00+05:30,1271.95,1316.65,1256.0,1300.0,1691456
911,2018-09-25 00:00:00+05:30,1289.9,1304.85,1257.15,1271.8,1262738
912,2018-09-26 00:00:00+05:30,1282.0,1303.5,1274.0,1300.0,1338324
913,2018-09-27 00:00:00+05:30,1287.5,1314.0,1276.45,1294.8,1901166
914,2018-09-28 00:00:00+05:30,1293.3,1315.0,1286.0,1293.0,1549540
915,2018-10-01 00:00:00+05:30,1279.8,1307.9,1269.0,1299.0,1143818
916,2018-10-03 00:00:00+05:30,1251.75,1269.0,1246.15,1264.9,1236645
917,2018-10-04 00:00:00+05:30,1224.7,1239.2,1214.0,1228.0,1557441
918,2018-10-05 00:00:00+05:30,1209.5,1240.0,1191.85,1221.45,1344685
919,2018-10-08 00:00:00+05:30,1247.8,1254.0,1201.1,1210.0,1050759
920,2018-10-09 00:00:00+05:30,1201.4,1255.9,1191.0,1254.0,1088738
921,2018-10-10 00:00:00+05:30,1225.95,1240.85,1180.9,1205.9,803576
922,2018-10-11 00:00:00+05:30,1219.05,1221.5,1190.45,1201.0,781348
923,2018-10-12 00:00:00+05:30,1261.2,1265.95,1233.9,1233.9,1000950
924,2018-10-15 00:00:00+05:30,1250.3,1257.2,1241.5,1255.0,728514
925,2018-10-16 00:00:00+05:30,1267.6,1282.9,1252.55,1257.0,908616
926,2018-10-17 00:00:00+05:30,1259.0,1282.25,1255.0,1282.2,698043
927,2018-10-19 00:00:00+05:30,1235.4,1287.0,1220.45,1264.0,1449043
928,2018-10-22 00:00:00+05:30,1200.4,1247.15,1191.0,1245.0,1949683
929,2018-10-23 00:00:00+05:30,1138.45,1190.0,1118.0,1135.2,8272850
930,2018-10-24 00:00:00+05:30,1186.9,1199.0,1150.15,1160.0,2370198
931,2018-10-25 00:00:00+05:30,1200.05,1208.95,1175.0,1180.5,1995349
932,2018-10-26 00:00:00+05:30,1190.3,1202.0,1168.35,1200.0,1440249
933,2018-10-29 00:00:00+05:30,1196.05,1213.7,1186.5,1194.8,1186190
934,2018-10-30 00:00:00+05:30,1196.3,1208.0,1175.55,1194.8,1075337
935,2018-10-31 00:00:00+05:30,1230.4,1234.95,1183.85,1205.6,1561884
936,2018-11-01 00:00:00+05:30,1217.8,1244.8,1213.8,1233.0,1200280
937,2018-11-02 00:00:00+05:30,1247.0,1291.55,1241.25,1242.0,2235848
938,2018-11-05 00:00:00+05:30,1244.05,1260.65,1232.5,1252.0,756887
939,2018-11-06 00:00:00+05:30,1238.5,1255.0,1235.0,1242.2,815046
940,2018-11-07 00:00:00+05:30,1250.95,1254.0,1239.2,1250.0,100134
941,2018-11-09 00:00:00+05:30,1295.6,1308.9,1256.85,1259.8,2026920
942,2018-11-12 00:00:00+05:30,1278.8,1314.9,1275.15,1295.0,1100286
943,2018-11-13 00:00:00+05:30,1284.9,1295.6,1277.45,1277.45,1632176
944,2018-11-14 00:00:00+05:30,1320.55,1337.95,1302.0,1312.0,1631802
945,2018-11-15 00:00:00+05:30,1318.3,1331.85,1313.4,1320.0,1065640
946,2018-11-16 00:00:00+05:30,1321.3,1329.8,1313.2,1320.0,1113304
947,2018-11-19 00:00:00+05:30,1312.15,1329.85,1305.0,1329.0,784645
948,2018-11-20 00:00:00+05:30,1306.85,1331.05,1304.7,1317.0,867729
949,2018-11-21 00:00:00+05:30,1324.2,1342.5,1313.75,1329.0,1374789
950,2018-11-22 00:00:00+05:30,1314.4,1330.7,1308.75,1330.0,691593
951,2018-11-26 00:00:00+05:30,1349.5,1357.55,1323.6,1329.95,2149117
952,2018-11-27 00:00:00+05:30,1339.6,1346.8,1326.05,1346.8,1130756
953,2018-11-28 00:00:00+05:30,1324.25,1354.55,1319.15,1352.9,1205630
954,2018-11-29 00:00:00+05:30,1350.3,1355.0,1330.7,1336.0,3556169
955,2018-11-30 00:00:00+05:30,1345.95,1361.75,1342.15,1352.8,1030541
956,2018-12-03 00:00:00+05:30,1338.7,1359.0,1335.05,1345.0,710748
957,2018-12-04 00:00:00+05:30,1329.45,1354.7,1326.45,1336.55,830261
958,2018-12-05 00:00:00+05:30,1329.5,1343.0,1323.6,1328.5,864628
959,2018-12-06 00:00:00+05:30,1295.1,1324.95,1286.6,1324.0,896350
960,2018-12-07 00:00:00+05:30,1318.65,1324.0,1298.4,1306.5,1037026
961,2018-12-10 00:00:00+05:30,1274.2,1306.25,1262.3,1280.0,1074399
962,2018-12-11 00:00:00+05:30,1323.6,1336.45,1252.15,1268.0,1746513
963,2018-12-12 00:00:00+05:30,1330.9,1337.2,1311.85,1323.0,986580
964,2018-12-13 00:00:00+05:30,1320.2,1343.2,1316.0,1338.45,1175211
965,2018-12-14 00:00:00+05:30,1340.95,1351.0,1320.0,1332.8,1869410
966,2018-12-17 00:00:00+05:30,1335.85,1344.95,1330.0,1340.0,665295
967,2018-12-18 00:00:00+05:30,1355.7,1361.0,1327.55,1338.45,1581385
968,2018-12-19 00:00:00+05:30,1400.25,1406.8,1370.0,1370.0,3334213
969,2018-12-20 00:00:00+05:30,1425.8,1431.55,1389.05,1389.9,2578234
970,2018-12-21 00:00:00+05:30,1388.2,1433.9,1382.3,1433.9,2098064
971,2018-12-24 00:00:00+05:30,1357.05,1388.95,1351.1,1388.0,1649577
972,2018-12-26 00:00:00+05:30,1363.0,1374.9,1347.4,1367.95,1790087
973,2018-12-27 00:00:00+05:30,1372.5,1384.75,1354.3,1360.05,2174090
974,2018-12-28 00:00:00+05:30,1366.0,1383.0,1359.0,1383.0,1705033
975,2018-12-31 00:00:00+05:30,1373.05,1378.0,1367.3,1375.0,698593
976,2019-01-01 00:00:00+05:30,1371.55,1379.7,1358.6,1373.2,664707
977,2019-01-02 00:00:00+05:30,1383.3,1386.85,1361.6,1367.0,1233780
978,2019-01-03 00:00:00+05:30,1388.3,1393.85,1378.0,1381.8,1636293
979,2019-01-04 00:00:00+05:30,1385.85,1401.4,1381.4,1388.0,1202397
980,2019-01-07 00:00:00+05:30,1396.0,1405.4,1383.75,1386.0,1074373
981,2019-01-08 00:00:00+05:30,1401.25,1412.7,1395.5,1401.0,1232440
982,2019-01-09 00:00:00+05:30,1402.0,1414.0,1397.15,1402.5,973687
983,2019-01-10 00:00:00+05:30,1396.35,1400.0,1388.65,1390.0,1004783
984,2019-01-11 00:00:00+05:30,1403.65,1406.2,1392.4,1399.75,473391
985,2019-01-14 00:00:00+05:30,1388.6,1410.6,1385.45,1404.0,1360800
986,2019-01-15 00:00:00+05:30,1405.95,1414.45,1388.6,1388.6,1355920
987,2019-01-16 00:00:00+05:30,1389.75,1412.95,1387.7,1410.0,1189597
988,2019-01-17 00:00:00+05:30,1389.6,1398.5,1383.8,1390.0,853829
989,2019-01-18 00:00:00+05:30,1400.45,1404.75,1383.0,1391.0,1092189
990,2019-01-21 00:00:00+05:30,1422.1,1424.8,1395.2,1395.2,2513582
991,2019-01-22 00:00:00+05:30,1406.95,1432.05,1375.25,1423.9,5483768
992,2019-01-23 00:00:00+05:30,1396.55,1429.45,1390.0,1429.0,2702265
993,2019-01-24 00:00:00+05:30,1401.85,1413.5,1396.5,1400.0,1562800
994,2019-01-25 00:00:00+05:30,1372.15,1413.7,1353.3,1408.4,1613548
995,2019-01-28 00:00:00+05:30,1379.5,1391.0,1366.85,1375.0,1590764
996,2019-01-29 00:00:00+05:30,1393.3,1400.0,1373.2,1377.0,1061762
997,2019-01-30 00:00:00+05:30,1390.4,1416.8,1372.1,1394.0,1313152
998,2019-01-31 00:00:00+05:30,1412.6,1415.0,1391.05,1400.0,1256050
999,2019-02-01 00:00:00+05:30,1457.2,1469.65,1408.2,1412.4,2077539
1000,2019-02-04 00:00:00+05:30,1446.35,1452.8,1434.0,1444.0,735159
1001,2019-02-05 00:00:00+05:30,1450.35,1466.9,1443.1,1444.95,786962
1002,2019-02-06 00:00:00+05:30,1469.4,1476.2,1452.3,1457.85,1088914
1003,2019-02-07 00:00:00+05:30,1472.45,1476.8,1457.0,1467.05,697412
1004,2019-02-08 00:00:00+05:30,1448.8,1480.0,1445.0,1468.0,1018518
1005,2019-02-11 00:00:00+05:30,1437.1,1457.3,1427.0,1447.9,728051
1006,2019-02-12 00:00:00+05:30,1452.1,1456.9,1435.25,1438.5,947583
1007,2019-02-13 00:00:00+05:30,1424.15,1453.65,1417.0,1451.0,507194
1008,2019-02-14 00:00:00+05:30,1399.2,1423.15,1396.5,1417.65,915441
1009,2019-02-15 00:00:00+05:30,1393.6,1404.95,1372.1,1400.8,1113223
1010,2019-02-18 00:00:00+05:30,1380.05,1401.7,1345.0,1401.7,1460282
1011,2019-02-19 00:00:00+05:30,1377.85,1396.95,1371.0,1372.05,697530
1012,2019-02-20 00:00:00+05:30,1396.9,1398.8,1376.0,1380.0,843469
1013,2019-02-21 00:00:00+05:30,1397.8,1407.85,1390.3,1399.0,677142
1014,2019-02-22 00:00:00+05:30,1397.8,1407.75,1384.2,1399.0,801380
1015,2019-02-25 00:00:00+05:30,1398.25,1405.8,1391.35,1399.95,711217
1016,2019-02-26 00:00:00+05:30,1402.0,1407.0,1378.6,1396.9,1147218
1017,2019-02-27 00:00:00+05:30,1405.7,1430.85,1395.0,1404.0,1462017
1018,2019-02-28 00:00:00+05:30,1405.2,1415.0,1401.45,1414.8,1230935
1019,2019-03-01 00:00:00+05:30,1392.35,1417.95,1388.1,1409.0,783876
1020,2019-03-05 00:00:00+05:30,1403.85,1409.75,1382.7,1393.5,1214257
